Username,Tweet,Sentimen
wong ndesoo belajar dadi wong kuto, antaranews kepada pak luhut yang minta ppkm darurat itu adalah mreka kelas menengah keatas ketakutan akan corona akhirnya anda buatkan acara dan jadi korban adalah rakyat kecil rakyat tidak butuh ppkm rakyat itu butuh kerja buat ngasi makan anak istri, negatif
himawan noorkanji,etapih darurat militer adah bagus nya kalo emg mauk diaplikasiin masa pandemik spec ppkm pak urgent malah buat maksa rakyat tetep valid the track buat nurunin scr gercep korban covid19 dimarih sdh masuk besar duniyah dibawah brasil https xuivyjrgew, positif
tribunkaltara.com,bintang emon berani sentil mahfud yang tuai kontroversi menonton ikatan cinta saat ppkm darurat https lqjph2jaoz via tribun kaltara mahfudmd bintangemon ikatancinta sinetron ppkmdarurat menteri kontroversi twitter, positif
liputan6.com,luhut bukan pilihan mudah bagi pemerintah putuskan ppkm darurat https rfdjrecfqv, netral
henrykus sihaloho,kendali atas ppkm darurat https 8f9xnoezvp seraya berterima kasih kpd redaksi https b1goolpts8 atas pemuatan tulisan ini kami mohon izin membagikannya kpd semua sahabat amp kerabat terima kasih banyak doa amp salam ramlirizal teguhtimurcom rmol id indonewsdot id https j4ipaawaus, netral
gatracom,pemerintah belum putuskan perpanjangan ppkm darurat jawa bali https owtwvwpx1q, netral
mobitekno,ppkm darurat masih berlaku saat idul adha 1442h lazada ajak masyarakat berkurban secara online mobitekno lazada sebagai salah satu pemain ecommerce indonesia turut mendukung berlangsungnya     https 7tprqapbot https bxvquv453e, netral
idcorner 🇮🇩,polisi patroli tempat wisata untuk memantau penerapan ppkm darurat lawancovid19 https 4seowna2pl, positif
gatracom,pemerintah minta maaf ppkm darurat belum optimal https aqydyk6vbf, negatif
era indonesia,semoga segera mereda corona https lggyniotru, positif
hadi prayitno,iyo mbah tak sepuro terusno mergawemu sing apik https vbeukrsb3d, netral
j aditama, hilmi28 bayangan saya sih uang segitu bisa utk membiayai hidup semua keluarga indonesia selama minggu dlm kondisi ppkm darurat sehingga petugas lapangan tdk perlu bersitegang dengan pedagang2 kecil buka usaha selama ppkm darurat, positif
dhe kuntet, arahan presiden jokowi dalam rapat terbatas mengenai penanganan pandemi covid evaluasi ppkm darurat juli 2021 dari istana merdeka jakarta https abdxhivxrj, positif
humas polsek klatara,giat gabungan tni dan polri dalam berikan himbauan masa ppkm darurat wilayah klaten utara dipimpin oleh camat klaten utara https gdylbvywxe, positif
henrykus sihaloho,kendali atas ppkm darurat https 8f9xnoezvp seraya berterima kasih kpd redaksi https b1goolpts8 atas pemuatan tulisan ini kami mohon izin membagikannya kpd semua sahabat amp kerabat terima kasih banyak doa amp salam ramlirizal teguhtimurcom rmol id indonewsdot id, netral
inay►, republikaonline ppkm darurat dah mau habis bantuan belum kelihatan hilalnya, negatif
nusantara indah, arahan presiden dalam rapat evaluasi ppkm darurat presiden joko widodo jokowi memberikan sejumlah arahan kepada jajaran kementerian dan lembaga dalam rapat terbatas mengenai evaluasi ppkm darurat jumat https ed58mtisww, positif
74124k 1.0, presiden indonesia joko widodo jokowi menginstruksikan kepada jajaran tni polri untuk segera menyalurkan bantuan sosial bansos ppkm darurat kepada masyarakat yang terdampak seluruh indonesia polripresisi polripeduli probolinggo polripresisi jatimbangkit https xlgmio4ew6, positif
suaradotcom,mendagri tito karnavian menekankan kepada aparat pengawasan ppkm darurat untuk tidak emosi saat menghadapi masyarakat https erwmw7uctz, positif
heri erpela. e-ktp.: maisuhandri bsc.,ppkm darurat tlah menganiaya rakyat disekat disetiap daerah wong cilik dulu dijual utk kepentingan kekuasaan kini dibunuh scara pelan ppkm covid19 hingga bisa kerja mnunggu kematian nun bandara bgs asing rrc kom trus brombongan masuk sbg pngganti wni wafat, negatif
p, 3careindonesia yuk kita patuhi aturan ppkm darurat percayalah kalau kita patuh smua pasti cepat berlalu tri mantap, positif
d. yudhistira,kalau hasil evaluasi ppkm darurat dianggep gagal dan gak ada penurunan jumlah kasus covid siapa harus tanggung jawab kira2 rakyat dapet kompensasi gak cumananya, negatif
polsek tugu,bakti sosial untuk meringankan beban masyarakat selama pelaksanaan ppkm darurat sabtu juli 2021 https lw6stuixbt, positif
rachman esha,ppkm darurat hari lagi bantuan beras kemensos untuk warga garut belum disalurkan https hcqehwzrsn, negatif
h.a.k, waluyoj kumparan susipudjiastuti setuju sangat efektif menekan pergerakan orang orang jadi ketakutan imun turun mudah terserang covid angka covid semakin naik terus nakes kuwalahan tidak optimalisasi lanjutkan ppkm darurat minggu biar sekalian rame konflik horizontalnya, negatif
era indonesia,cukup yaa https ma0cd2gzzj, netral
metroheadline.net,tindakan tegas diberikan terhadap pelanggar ppkm darurat https xsbhttpnmi https sbjvrqppks, netral
jawa pos,ppkm darurat bali united serahkan bantuan bagi warga terdampak https 6cx2z24sea, positif
☠ⓕⓢ❶❷☠,demi setor uang negara daihatsu tetap buat mobil saat ppkm darurat https lhw2ajxcxv, netral
contact center ap ii, faiziqbaal selamat malam kak dpt kami informasikan perihal regulasi masa ppkm darurat untuk saat ini masih berlaku sampai tanggal juli untuk regulasi setelah tanggal tersebut belum tersedia informasi lebih lanjut silakan menghubungi kami kembali secara berkala terima kasih lucas, netral
wong ndesoo belajar dadi wong kuto, teddygusnaidi ppkm darurat minta itu kaum menengah keatas ketakutan akan corona dan mreka perutnya terjamin maka jadi korban adalah kaum rakyat kecil rakyat tidak butuh ppkm rakyat bawah itu butuh kerja buat kasi makan anak istri namanya penyakit menular mreka sudah terbiasa, negatif
follow @schcampus‼️,sch ada yang mau kalian tanyain tentang pelaksanaan shalat idul adha masa ppkm darurat gini for sender assigment purpose makasih banget yang udah mau bantu reply, netral
tasha,ppkm darurat lendataan bantuan akan segera didistribusikan wajibpakaimasker ikhtiaratasipandemi https d0vrmyr3uv, positif
pikiran rakyat,selama ppkm darurat bupati dan wabup lumajang tak ambil gaji sumbangkan untuk warga terdampak https o3ucsszd07 ppkm darurat ppkmdarurat wabup lumajang gaji pejabat bupatilumajang sumbangkangaji takambilgaji viral videoviral, positif
catelynn,pakar usul ppkm darurat diperpanjang sampai aku selesai update https zbcrvms6nh, netral
andy hartono,sdh blm ada kejelasan perpanjangan ppkm darurat aneh bener sih memangnya blm bisa menentukan apa ngurus pandemi amatiran banget dipikir perusahaan perlu kepastian apa, negatif
jegger alim, bemui official pemenuhan kebutuhan selama ppkm darurat ini perlu klean perjuangkan jangan diam saatnya utk melawan panjang umur perjuangan https eru7rrt2wa, positif
kumparan,menteri keuangan sri mulyani indrawati mencatat anggaran program pemulihan ekonomi nasional pen sebelumnya sebesar 699 triliun https y1hrc46ptu, positif
pemprov dki jakarta #vaksindulu,berikut panduan ibadah kurban dan shalat iduladha selama masa ppkm darurat sebagai upaya pencegahan pengendalian dan memutus mata rantai penyebaran covid kurbanamandansehat iduladha jagajakarta jakartabangkit https arxctfada6, positif
anzou wijaya,mendekati idul adha ppkm darurat diberlakukan tetap saja yang menjadi korban sapi dan kambing, netral
info depok,polisi kembali memastikan pengemudi ojek online ojol yang diperboleh melintasi 100 titik penyekatan selama pemberlakuan pembatasan kegiatan masyarakat ppkm darurat meski tanpa surat tanda registrasi pekerja strp hal itu dikatakan dirlantas polda https rcl2aiwlaw https k9i7nct1s1, positif
radaraktualdotcom,luhut minta maaf jika penanganan ppkm darurat jawa bali belum optimal https ltkqpw1gbs, negatif
yntkts, flipboogers areajulid percuma ppkm darurat jalan2 utama sepi tapi jalan tikus rame wkwkwkwkw, negatif
bang mara 🇲🇨🇲🇨🇲🇨🇲🇨🇲🇨, divhumas polri tangkap pelanggar ppkm darurat ini https qr2sb46jkr, negatif
iskandarsyahetos37, realabikatrader suruh baca itu karantina darurat kesehatan psbb ppkm diputar2 buat rakyat bingung krn mreka tak mampu ksh kompensasi jelas, negatif
ichika yui,ppkm darurat bakal diperpanjang ini dampaknya pasar saham namun apabila menilik kinerja indeks harga saham gabungan ihsg yang masih naik dalam sepekan dan sebulan terakhir serta nilai tukar rupiah https qciipikg54 saham investasi, positif
oposisicerdas.com,minta jokowi tidak perpanjang ppkm darurat dewi tanjung saya punya feeling ada misi jahat untuk jatuhkan bapak https eo1vvzub7o, negatif
leho hejo, pemikiran ggung jawab dalam undang undang karantina gak mau dijalankan sampe namanya diganti2 jadi psbb ppkm mikro ppkm darurat biar terhindar dari tanggung jawabnya tapi pasal2 pidana dari pelanggaran karantina pake terus sampai saat ini https kwkmyftxst, negatif
humas sek susukan, semaranghumas posko pemeriksaan kendaraan polres semarang dalam rangka ppkm darurat exit tol ungaran dan bawen dilanjutkan dengan penempelan stiker bagi kendaraan yang termasuk sektor kritikal dan esensial sabtu 2021 https 6gitl1ydd3, positif
polsek pamotan,kapolsek pamotan iptu https fh3bvbt2tc bersama anggota melaksanakan giat patroli penertiban ppkm darurat dan pembagian sembako kepada para pedagang pamotan https ilp5wwzqyx, positif
paulina bangunsari, dennysiregar7 bali vaksin uda vaksin uda klo ppkm darurat diteruskan justru ini bakal pembantaian massal gimana enggak sampai lapak umkm dikasi cari nafkah sementara pemda ada kasi solusi cuma nambahin masalah terus, negatif
edu, irenejuliency sebaiknya jokowi tegas hentikan ppkm darurat kembali pada ppkm skala mikro lbh ketat dipantau kemendagri ri, positif
analis_solo tewel _mahatmanto, eko kuntadhi ppkm darurat tumbuh kembang biak roh baik pada sesama jiwa dermawan sinterklas edhie baskoro dennysiregar7 agusyudhoyono dpr ri dpdri mprgoid kemensosri dkk https whmyv2amjw, netral
humas sek susukan, semaranghumas bantuan sosial ppkm darurat kepada masyarakat terdampak pandemi covid https 9ow5t7vjxa, positif
🤫 alex the whisperer 🤫, ramlirizal ppkm darurat kurang optimal itu disebabkan karena gerombolan kadrun nyinyirers wahabi cingkrangers penyebar hoax perusak bangsa ngerecokin pemerintah terus brenti2 bener bener punya empati, negatif
humas sek susukan, semaranghumas dalam masa ppkm darurat tetap disiplin prokes dan ikuti vaksinasi disiplinprokes stayathome vaksinamandanhalal https 6pbmrchfgp, positif
onom,wacana ppkm darurat diperpanjang ekonom sorot dampak ekonomi https ydne7mezhh covid juli ada 832 755 489 meninggal sabtu ayah darurat militer kakak rahmat arafah malming malam minggu hijau arsenal 2021gantimukidi 2021gantimukidi, negatif
ar,pakar usul ppkm darurat diperpanjang sampai shorisou rilis subunit, negatif
th3_bath51ck, makzulkanpresidengagal makzulkanpresidengagal ppkm darurat darurat militer darurat kesehatan tidak disebutkan darurat kebutuhan rakyat https hl5q7jdag4, negatif
syahrial nasution,cukup terkesan mendengar permintaan maaf pak luhut atas pencapaian tdk maksimal ppkm darurat yakin buzzer selalu merasa mampu mendikte pemerintah sprt video bawah ini hatinya kecil tdk sepongah droplet keluar dari mulutnya dan bisa menularkan covid https qw6pr3atqs, positif
bintara munthe, rizieq sangean jokowi tambah wapresnya yang buka tempat ibadah saat ppkm darurat percuma dong kerja keras pemerintah dan pak jokowi klw tempat ibadah dibuka saat covid tinggi, negatif
medcomid,ppkm darurat diperpanjang pemerintah diminta segera salurkan bantuan https y0vtmsmg5q, positif
humas sek susukan, semaranghumas pemberian bantuan jaring pengaman sosial oleh polres semarang kepada pedagang kaki lima masa ppkm darurat https wm0bxanquz, positif
m. idris daulat,efektivitas ppkm darurat belum terlihat https edvpei7emw, negatif
humas sek susukan, semaranghumas penyerahan bantuan jaring pengaman sosial oleh polres semarang dan kodim 0714 salatiga kepada warga yang terdampak ppkm darurat kab semarang https myypzehwp5, positif
michiru nishidella ~ the identity v 1st look,akhirnya sebetulnya banyak lagi nanti kan klo longgarkan ppkm darurat berakhir diperpanjang imbascorona ppkmdarurat blmtidur, negatif
pangeran tanpa mahkota,telkomsel ini kenapa sih jangan bilang sinyal nya juga tutup krn ppkm darurat, negatif
longorpedia,soal ppkm darurat diperpanjang mending kalian gak perlu kritik pembuat kebijakan gak bakalan kritikan kalian dengar menurut gue mending kita panjatkan doa aja tuhan cukup panjatkan doa mohon diberikan azab untuk pengambil kebijakan salahlangkahppkmdarurat, positif
pemuda indonesia,efektivitas ppkm darurat belum terlihat https mpjkyeaavd, negatif
all£_v¥☕🔨,minta jokowi tidak perpanjang ppkm darurat dewi tanjung saya punya feeling ada misi jahat untuk jatuhkan bapak idtodayco suudzon ingus cebong https flrfvj6pi1, negatif
999 snoɯʎuouɐ, sosmedkeras selama ppkm darurat citra satpol jadi buruk mata masyarakat padahal mereka penegak hukum hanya menjalankan tugas saja, negatif
ekspresnews.com,satgas tmmd 111 kodim 1207 pontianak menyingkapi ppkm darurat dengan apel bersama https lde0qilcxs, positif
abraham,nah ini baru presiden jentel minta maaf ups https ax7sa3jwii, positif
ibas,disindir abis abisan sama temen temen karena gak mau ikut serta berproject masa masa ppkm darurat jelas gak mau lah mereka prokesnya jorok dan selalu nolak kenyataan bahwa dunia sedang dilanda wabah yang ganas moga tuhan siapkan alur karier yang lebih baik, negatif
nunung maryana,kenapa harus sampai terjadi akhirnya presiden jokowi berikan kabar baik yang bikin tenang jutaan masyarakat indonesia petugas ppkm darurat https ilgjpx0tcr, positif
tempo.co,pandu riono nilai ada atau tidak ppkm darurat kasus covid tetap naik sebab https bw0tf8q75y tempometro, negatif
tonihadif,bisa diundur nih 2022 atau setelah ppkm darurat https 4wb0yxxmls, negatif
antonius adiyoso, ayurani yunartowijaya drpriono1 mbok mikir dulu dibikin ppkm darurat saja bikin rakyat menderita ente bilang lockdown berani kasih makan rakyat jelata gak, negatif
katakini,ihsg dan nilai kapitalisasi pasar bursa zona hijau selama ppkm darurat https wstigghky7, netral
detikcom,menteri koordinator bidang kemaritiman dan investasi luhut binsar pandjaitan mengatakan mobilitas dan aktivitas sudah mulai menurun dengan adanya ppkm darurat https b6tylz8ijp, positif
humas sek susukan, semaranghumas kegiatan bakti sosial polres semarang dan kodim 0714 salatiga kepada warga yang terdapak ppkm darurat kab semarang https rj4cpqs9zf, positif
kompas.com, dewan pakar ikatan ahli kesehatan masyarakat indonsia iakmi hermawan saputra mengatakan ppkm darurat tak efektif mengendalikan kasus covid apa penyebabnya klik artikel berikut untuk informasi lengkapnya indonesiadaruratcovid19 https 7nqejhcn7w, negatif
buruh rantau, teddygusnaidi ppkm darurat tidak akan mungkin bisa sukses kecuali negara mau memberi makan rakyatnya, negatif
george van mars 🇮🇩, mx00711 muhadjir ef itulah sering terjadi setahu saya komandan ppkm darurat adalah menko kemaritiman dan investasi luhut binsar panjaitan, netral
smith & ackerman's daughter,ppkm ppkm darurat ppkm darurat revisi ppkm darurat revisi terakhir ppkm darurat revisi terakhir banget ppkm darurat revisi terakhir banget fix https cllry5usjj, netral
onom,nasib pedagang kecil diombang ambing pengadilan gara gara ppkm darurat https hvjanghtqw covid juli ada 832 755 489 meninggal sabtu ayah darurat militer kakak rahmat arafah malming malam minggu hijau arsenal salahlangkahppkmdarurat salahlangkahppkmdarurat, negatif
yani sunarno,ppkm darurat terasa berat utk dirasakan bukan keinginan tapi menjadi kebutuhan mau tidak mau harus dilaksanakan https 7dseppf9q6, negatif
toothles,bukan ppkm aja darurat kangenku juga darurat ini eww, negatif
era indonesia,sulap hotel jadi ruang isolasi menparekraf pastikan ini upaya dukung perpanjangan ppkm darurat https fdgrestism, positif
suara hati, thewindncloud buruhrantau sepertinya bukan gak setuju ppkm darurat itu memang harus tinjau ulang karna bansos diberikan sebagai bantuan itu tdk mencukupi utk menopang kehidupan masyarakat berpendapatan kecil, negatif
proaktif media,cek artikel kami dengan judul ppkm darurat wni dikekang tka melenggang https ew3gep19gb semoga allah memberikan keberkahan untuk kita semua https l2jpzlbfhx, negatif
alineadotid,tito karnavian walau tidak enak ppkm darurat demi rakyat https ygxjhhcxyy https 67npgvwphu, netral
makmur,haduuh pak luhut harganya terlalu mahal ratusan orang wafat krn keteledoran anda dkk anda silahkan menjabat menkomarves mundurlah dari koordinator ppkm darurat sebelum mundur bayar kesalahan penuhi suplai obat2an kawal distribusi oksigen siapkan gedung penampungan https 8wltur4jdd, positif
rumah kreatif emiliana sriwahjuni psi denpasar,warga belum tersentuh bantuan saat ppkm darurat legislator psi sis emil bagikan beras edukasi warga taat prokes dan sukseskan vaksinasi https ooi3wjzcss psi id, positif
siriana,perpanjangan ppkm darurat hal yang sensitif koq tiba2 ingat mak erot dan abah otong https 1jdot1gzi2, negatif
antika wings,kalo semua pihak bekerjasama pasti optimal semoga pandemi ini cepat berlalu god bless indonesia https qcnalgwljb, positif
polsek gatak,gabungan tni polri dan trantib kec gatak dipimpin kapolsek gatak iptu tugiyo melaksanakan sosialisasi dan himbauan pemberlakuan ppkm darurat wilayah kecamatan gatak kabupaten sukoharjo untuk memutus penyebaran covid19 https l83mobtpdu, positif
ojolresah,percepat dong pak vaksinnya buat rakyat ppkm darurat persentasi mengatasi gempuran delta c19 terlalu signifikan malah lapar pak lama kelamaan rakyat percepat vaksinnya pak aniesbaswedan jokowi ridwankamil wahidinhalim wh ganjarpranowo, positif
butiran debu, arusbaik id ppkm darurat untuk menghentikan penularan, netral
oligarki 19, fkadrun tirta hudhi benar benar ada guna nih ppkm darurat darurat dah sikap aparat klo mau bebas kopet lockdown karantinawilayah kasi makan seluruh msykt nkri klo bansos semua terkover dan rentan korupsi, positif
lambesuwing,ini mak lampir punya feeling tapi punya otak https kwzimjgoou, netral
burung ababil, oposisicerdas coba ganti ppkm super darurat, negatif
dini purwono,arahan presiden jokowi dalam rapat evaluasi ppkm darurat istana merdeka jakarta pada jumat juli 2021 https z2gesybqrx, positif
repelita online,minta jokowi tidak perpanjang ppkm darurat dewi tanjung saya punya feeling ada misi jahat untuk jatuhkan bapak https 3o2gxjltwm lewat repelita online, negatif
matta 💩, imanlagi tbh gue nangkepnya kalo pak luhut bilang hari lagi diumumkan perpanjangan ppkm darurat bukannya sampai hari lagi, netral
ust.wicis,pro kontra ppkm darurat adalah hal paling ditunggu tunggu kadrun samakin berantakan semakin senang bunglon sperti hantu bayangan setiap moment pasti menyusup cepat pulih negeri, negatif
mitanews.co.id,kapolda sebut pelaksanaan ppkm darurat sesuai harapan https 7biwti99jz, negatif
ꦱꦠꦿꦶꦲ ꦲꦁꦒ ꦥꦿꦠꦩ,aku kok penasaran siapa yang bikin usulan ppkm darurat disertai blokir jalan dan mematikan lampu kota itu efektif buat menekan laju penambahan c19, negatif
indonesiatoday,minta jokowi tidak perpanjang ppkm darurat dewi tanjung saya punya feeling ada misi jahat untuk jatuhkan bapak https o6y5e0dl7n, negatif
ronld reynr,jokowi belum putuskan perpanjangan ppkm darurat https 2lrxgguypf, netral
mas rio, shantysya jakut doang dgn waktu sempit ini dan konon bansos cuman 300k sebulan yaaa mending stop ppkm aja lah orang lapar malah bisa nekaaat sih setuju stop ppkm daruraat atau kalo ppkm yaa kasih nafkah gencarkan vaksinasi stop ppkm darurat itu kalo, positif
solopos.com,luhut minta maaf ppkm darurat tak efektif https zbgir5xfi7 https 2hbl7j12sk, negatif
msnindonesia,luhut kebijakan ppkm darurat bukan pilihan yang mudah bagi pemerintah https 10gbgwyi8y, netral
ayunia,pengantar presidem jokowi pada ratas evaluasi ppkm darurat istana merdeka juli 2021 https j2d6fqxaia https dqmpdcvna3, positif
pt. jasamarga,mekanisme penyekatan pada lokasi pengendalian mobilitas jalan tol jasa marga group dalam rangka penerapan ppkm darurat https kxzpoxppkj, negatif
memorandum,ppkm darurat kapolres lumajang salurkan bansos kepada warga terdampak https 2hoiuibeav, positif
pt. jasamarga,lokasi pengendalian mobilitas jalan tol jasa marga group dalam rangka penerapan ppkm darurat https snx72pzmp8, negatif
qweeeeenn,btw sedih bgt ini semenjak ppkm darurat paket paket gue pada lama datangnya sebelum ppkm darurat ntar ini datangnya pas lebaran haji hmmm merajok, negatif
tmc polda metro jaya, polri sat lantas jaktim bersama tni dishub amp sat pol melakukan pembatasan mobilitas amp penyekatan ppkm darurat guna pencegahan penyebaran virus covid panjaitan jakarta timur https 7uwjrcikfk, negatif
our story,akhirnya minta maaf juga https adlwbpwd1b, positif
voa indonesia,pemberlakuan pembatasan kegiatan masyarakat ppkm darurat yang yang dilakukan pemerintah sejumlah wilayah dinilai belum efektif dalam menahan laju angka penularan covid https qfvlobatm2, negatif
detikcom,presiden jokowi menyampaikan sejumlah pesan kepada para menteri kabinetnya terkait penanganan pandemi corona tengah pemberlakuan ppkm darurat https 7uiwn1olrk, netral
dipo alam,inga inga kalau ppkm darurat diperpanjang jangan sampai kleru cnnindonesia detikcom tempodotco berita rmol kompascom republikaonline bemui official ramlirizal fadlizon ppkm darurat tak optimal luhut minta maaf seluruh rakyat https x1nyauegxl, positif
embun pagi💧💧, buruhrantau gak setuju ppkm darurat , positif
akmal sjafril,terkendali https gzvo0cd6ej, netral
pt. jasamarga, wib tol japek karawang barat 200 arah jakarta diberlakukan penyekatan ppkm darurat, positif
jijik melihat politisi busuk,apa yang terjadi jika ppkm darurat tidak diperpanjang https 2narxod3yo bagi anda mau ppkm dihentikan dengar nih kata pakar, netral
pt. jasamarga, wib tol japek cikarang barat arah cikampek padat diberlakukan penyekatan ppkm darurat cikampek dawuan cikarang cikunir cawang lancar, positif
tmc polda metro jaya, polri sat lantas jaktim bersama tni dishub amp sat pol melakukan pembatasan mobilitas amp penyekatan ppkm darurat guna pencegahan penyebaran virus covid wilayah hukum jakarta timur https y6hnyletyi, positif
indonesiatoday,minta pemerintah evaluasi ppkm darurat politikus pan belum efektif https 7ehkvgmhdu, negatif
1 /2 minute,begitu dapat room malah ppkm darurat gaya kayak bisa aja, netral
febi ramdani,pak jokowi lebih baik memperbanyak vaksinasi dan prokes yang lebih ketat dari pada harus terus menerus ppkm darurat karena ppkm darurat mengakibatkan ekonomi menjadi berat, positif
idnpos.com,sedang ppkm darurat spa plus plus medan operasi sampai dini hari https p6twqmnfqh, netral
huda,ketua dpr minta pemerintah sampaikan evaluasi ppkm darurat sebelum diperpanjang https oxdwew3whq, positif
dika pradana,presiden jokowi menekankan bahwa penyekatan pada ppkm darurat harus lebih efektif lagi dan kota harus terus kampanyekan pakai masker dimanapun berada https c14qugdprx, positif
ferdyan,salut banget pak tapi akan jauh lebih hebat lagi jika bapak luhut yth legowo untuk mundur sebagai koordinator ppkm darurat dan menyerahkannya epidemiolog atau menteri kesehatan https frlbv9uxvd, positif
radaraktualdotcom,ini daftar menteri jokowi yang masih saja dinas luar negeri saat ppkm darurat https 2t9qpglfba, negatif
indonesia maju, arahan presiden dalam rapat evaluasi ppkm darurat jokowi lawanpandemi indonesiamaju https hf3fmcydah, netral
polsek durenan,ppkm darurat sidoarjo tni polri terjun percepat distribusi bansos https cfvwjbg2nd, positif
hey jude,kerjaan pemerintah kita selama ppkm darurat https bigo75n7jq, negatif
voi.id,pemerintah kota pemko medan sumatera utara segera menyalurkan bantuan sosial kepada warga yang terdampak selama masa ppkm darurat https rfzzni7qlk, positif
cerita.parapuan,ppkm darurat masih berjalan ini rincian tambahan bantuan sosial untuk masyarakat https gxqdvuvklx, positif
skor.id, sleman kesulitan analisis kondisi pemain selama ppkm darurat pssleman pss ppkmdarurat ppkm https c6mtuuwkag, netral
𝙮𝙤𝙨𝙚𝙢𝙞𝙩𝙚,tinggal nunggu ppkm darurat remix feat nicki minaj https 4be6pwkgnb https jd7ygx2mc4, netral
☠ⓕⓢ❶❷☠,polisi amankan bus antarkota pelanggar aturan berkendara selama ppkm darurat https s4xe5bwffk, positif
radar cirebon,cirebon sebuah video durasi detik beredar media sosial dengan keterangan pasar jagasatru cirebon ricuh akibat ppkm dipastikan unggahan itu https bcgfhm7anq, negatif
muh faizal santria,terapkan ppkm darurat wilayah piket koramil laweyan bersama linmas laksanakan patroli malam https fsjievzcj7, positif
haibunda,layanan drive thru dapat menjadi alternatif pemberian imunisasi rutin bagi anak selama ppkm darurat idai pun merekomendasikan layanan ini lho bunda https ki1urxdmhn, positif
doddy yudhistira, voidotid stop ppkm darurat atau sekalian lockdown, negatif
rizakti rahmatika tjintaka, radioelshinta ppkm darurat hanya bisa menambah kemiskinan bagi rakyat kecil dalam berbagai sektor apalagi kasus positifnya bertambah terus sampai ratusan ribu bahkan paling terburuk penanganan covid dunia, negatif
handsome,rakyat kecil bisa kelaparan kebijakannya bagus sih buat menekan penyebaran covid tapi tolong pikirkan solusi rakyat kecil dalam jangka waktu ppkm apalagi perpanjang ridwankamil jokowi https e8us3qqfzx, negatif
polsek dayeuhluhur,bhakti sosial dalam rangka ppkm darurat polres cilacap https y633fav00d, positif
kabar indonesia,ppkm darurat belum optimal luhut saya minta maaf kepada seluruh rakyat indonesia https o0zekon1p7, negatif
korem 082/cpyj,sebagai bertuk kepedulian terhadap masyarakat yang terdampak ppkm darurat denbekang mojokerto mendirikan dapur umum lapangan basket komplek pondok pesantren segoro agung trowulan syech jumadil kubro sododadi desa sentonorejo mojokerto sabtu 2021 https 18h1jjpmqm, positif
radio elshinta,setujukah kamu ppkm darurat diperpanjang ikuti pollingelshinta bawah ini https jk2yqk4vy3, netral
kompas.com,pengelola usaha pariwisata kota batu jawa timur berharap ppkm darurat dilaksanakan dengan maksimal guna menekan penyebaran kasus covid https drs0qshexo, positif
anjares general leopard macan tutul kental kentul, radh3308 jokowi kemendagri binofficial ri kemenkeuri klo psbb msih bnyak bebas berkeliaran dijalan ppkm darurat ini bagus namun harus humanis persuasif tegas jga hrs ada aturan mungkin bisa nasehati pedagang agar ikutin prokes tdk merusak lapak pedagang wajib take way apus denda memberatkan krna mreka untung dkit, positif
pks taktakan,ppkm darurat aleg pks tekan mobilitas pemerintah harus siapkan kebutuhan masyarakat https fmysvizq22 lewat fpksdprri pksejahtera fraksipksdprri bersamamelayanirakyat pksawasikabinet pkspelayanrakyat mardanialisera, positif
henrykus sihaloho,kendali atas ppkm darurat https 8f9xnoezvp seraya berterima kasih kpd redaksi https b1goolpts8 atas pemuatan tulisan ini kami mohon izin membagikannya kpd semua sahabat amp kerabat terima kasih banyak doa amp salam ramlirizal teguhtimurcom rmol id indonewsdot id https byzxatiirc, netral
yosepmartinus,tebakan ppkm darurat gak diperpanjaaaaang tapi cuma ganti nama aja menjadi ppkm emergency ppkmdaruratakhiricovid ppkmdarurat ppkmdiperpanjang, negatif
polsek tegalsiwalan polres probolinggo, covid 19 bansos indonesia presiden indonesia joko widodo jokowi menginstruksikan kepada jajaran tni polri untuk segera menyalurkan bantuan sosial bansos ppkm darurat kepada masyarakat yang terdampak seluruh indonesia polripresisi polripeduli probolinggo https mh11aab13t, positif
antaranews.com, kalau kita konsisten semua saya lihat akhir juli posisi kita akan semakin baik koordinator ppkm darurat jawa bali luhut binsar panjaitan covid19 ppkmdarurat https 7wscx6hd5v, positif
henrykus sihaloho, ramlirizal kendali atas ppkm darurat https 8f9xnoezvp seraya berterima kasih kpd redaksi https b1goolpts8 atas pemuatan tulisan ini kami mohon izin membagikannya kpd semua sahabat amp kerabat terima kasih banyak doa amp salam ramlirizal teguhtimurcom rmol id indonewsdot id, positif
🐈🐱c4t_m4n🐱🐈, mohmahfudmd rakyat disuguhkan tontonan mengedukasi dlm pelaksanaan penyelengaraan negara statement antar pejabat singkron disisi lain rakyatnya berjuang mati2an mnghadapi pandemi amp ekonomi saya sebagai rakyat merasa kecewa pak taat ppkm darurat bukan darurat militer darurat kesehatan https t2klymyawn, negatif
diarkoma,pakar usul ppkm darurat diperpanjang sampai vagabond season tamat, negatif
bakul tempe,solusi untuk ppkm darurat jawa amp bali supaya masyarakat diam dirumah kebutuhan pangan dibagikan secara gratis walau ala kadarnya angsuran atau kredit ditangguhkan selama bulan subsidi tarif listrik dan seterusnya, positif
onom,ppkm darurat jawa bali belum optimal luhut minta maaf https degtejrxhq covid ada 832 755 489 meninggal malming makzulkanpresidengagal salahlangkahppkmdarurat konspirasiobatasing justiceforibhrsandkm50 bongkarkorupsibansos batalkanuuciptakerja saturdaynight, negatif
